source,pt_PT
Accumulated Monthly Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},Orçamento mensal acumulado para a conta {0} em relação a {1}: {2} é {3}. Será excedido em {4}
Acquisition Date,Data de aquisição
Action,Ação
Action If Quality Inspection Is Not Submitted,Ação se a inspeção de qualidade não for enviada
Action If Quality Inspection Is Rejected,Ação se a inspeção de qualidade for rejeitada
Action If Same Rate is Not Maintained,Ação se a mesma taxa não for mantida
Action if Accumulated Monthly Budget Exceeded on Actual,Ação se o orçamento mensal acumulado for excedido em relação ao real
Action if Accumulated Monthly Budget Exceeded on MR,Ação se o orçamento mensal acumulado for excedido em MR
Action if Accumulated Monthly Budget Exceeded on PO,Ação se o orçamento mensal acumulado for excedido no pedido de compra
Action if Accumulative Monthly Budget Exceeded on Cumulative Expense,Ação se o orçamento mensal acumulativo for excedido nas despesas cumulativas
Action if Annual Budget Exceeded on Actual,Ação se o orçamento anual for excedido em relação ao real
Action if Annual Budget Exceeded on MR,Ação se o orçamento anual for excedido em MR
Action if Annual Budget Exceeded on PO,Ação se o orçamento anual for excedido no pedido de compra
Action if Anual Budget Exceeded on Cumulative Expense,Ação se o orçamento anual for excedido nas despesas cumulativas
Action if Same Rate is Not Maintained Throughout  Internal Transaction,Ação se a mesma taxa não for mantida durante a transação interna
Action if Same Rate is Not Maintained Throughout Sales Cycle,Ação se a mesma taxa não for mantida durante todo o ciclo de vendas
Action on New Invoice,Ação na nova fatura
Actions,Ações
Actions performed,Ações realizadas
Activate Serial / Batch No for Item,Ativar número de série/lote para item
Active,Ativo
Active Leads,Leads ativos
Active Status,Status Ativo
Activities,Atividades
Activity,Atividade
Activity Cost exists for Employee {0} against Activity Type - {1},Existe custo de atividade para o funcionário {0} em relação ao tipo de atividade - {1}
Activity Type,Tipo de atividade
Actual Balance Qty,Quantidade de saldo real
Actual Batch Quantity,Quantidade real do lote
Actual Date,Data real
Actual Demand,Demanda real
Actual End Date (via Timesheet),Data de término real (via quadro de horários)
Actual End Date cannot be before Actual Start Date,A data de término real não pode ser anterior à data de início real
Actual End Time,Hora de término real
Actual Expense,Despesa Real
Actual Expenses,Despesas reais
Actual Operating Cost,Custo operacional real
Actual Operation Time,Tempo real de operação
Actual Posting,Postagem real
Actual Qty,Quantidade real
Actual Qty (at source/target),Quantidade real (na origem/destino)
Actual Qty in Warehouse,Quantidade real no armazém
Actual Qty is mandatory,A quantidade real é obrigatória
Actual Qty {0} / Waiting Qty {1},Quantidade real {0} / Quantidade em espera {1}
Actual Qty: Quantity available in the warehouse.,Quantidade Real: Quantidade disponível no armazém.
Actual Start Date (via Timesheet),Data de início real (via quadro de horários)
Actual Start Time,Hora de início real
Actual Time,Hora real
Actual Time and Cost,Tempo e custo reais
Actual Time in Hours (via Timesheet),Tempo real em horas (via quadro de horários)
Actual type tax cannot be included in Item rate in row {0},O imposto de tipo real não pode ser incluído na taxa do item na linha {0}
Ad-hoc Qty,Quantidade ad hoc
Add,Adicionar
Add Child,Adicionar filho
Add Columns in Transaction Currency,Adicionar colunas na moeda da transação
Add Comment,Adicionar comentário
Add Corrective Operation Cost in Finished Good Valuation,Adicionar custo de operação corretiva na avaliação de produto acabado
Add Discount,Adicionar desconto
Add Items in the Purpose Table,Adicionar itens na tabela de finalidades
Add Lead to Prospect,Adicionar lead ao cliente potencial
Add Leads,Adicionar leads
Add Local Holidays,Adicionar feriados locais
Add Manually,Adicionar manualmente
Add Multiple,Adicionar vários
Add Or Deduct,Adicionar ou deduzir
Add Participants,Adicionar participantes
Add Phantom Item,Adicionar item fantasma
Add Quote,Adicionar cotação
Add Raw Materials,Adicionar matérias-primas
Add Safety Stock,Adicionar estoque de segurança
Add Schedule,Adicionar agendamento
Add Serial / Batch Bundle,Adicionar pacote serial/lote
Add Serial / Batch No,Adicionar número de série/lote
Add Serial / Batch No (Rejected Qty),Adicionar número de série/lote (quantidade rejeitada)
Add Stock,Adicionar estoque
Add Sub Assembly,Adicionar subconjunto
Add Template,Adicionar modelo
Add Weekly Holidays,Adicionar feriados semanais
Add a Note,Adicione uma nota
Add details,Adicionar detalhes
Add or Deduct,Adicionar ou Deduzir
Add to Prospect,Adicionar ao cliente potencial
Add to Transit,Adicionar ao transporte público
Add vouchers to generate preview.,Adicione vouchers para gerar visualização.
Add {0},Adicionar {0}
Added By,Adicionado por
Added On,Adicionado
Added Supplier Role to User {0}.,Função de fornecedor adicionada ao usuário {0}.
Added {0} ({1}),Adicionado {0} ({1})
Added {1} Role to User {0}.,Adicionada {1} função ao usuário {0}.
Adding Lead to Prospect...,Adicionando lead ao cliente potencial...
Additional,Adicional
Additional Asset Cost,Custo Adicional de Ativos
Additional Cost,Custo Adicional
Additional Cost Per Qty,Custo adicional por quantidade
Additional Costs,Custos Adicionais
Additional Data,Dados Adicionais
Additional Details,Detalhes Adicionais
Additional Discount,Desconto Adicional
Additional Discount Amount,Valor de desconto adicional
Additional Discount Amount (Company Currency),Valor de desconto adicional (moeda da empresa)
Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),O valor do desconto adicional ({discount_amount}) não pode exceder o total antes desse desconto ({total_before_discount})
Additional Discount Percentage,Porcentagem de desconto adicional
Additional Finished Good,Produto Acabado Adicional
Additional Info,Informações Adicionais
Additional Information,Informações adicionais
Additional Information updated successfully.,Informações adicionais atualizadas com sucesso.
Additional Material Transfer,Transferência de Material Adicional
Additional Notes,Notas Adicionais
Additional Operating Cost,Custo Operacional Adicional
Additional Transferred Qty,Quantidade Transferida Adicional
"Additional Transferred Qty {0}|||					cannot be greater than {1}.|||					To fix this, increase the percentage value|||					of the field 'Transfer Extra Raw Materials to WIP'|||					in Manufacturing Settings.","Quantidade transferida adicional {0}|||					não pode ser maior que {1}.|||					Para corrigir isso, aumente o valor percentual|||					do campo 'Transferir matéria-prima extra para WIP' |||					em Configurações de fabricação."
Additional information regarding the customer.,Informações adicionais sobre o cliente.
Additional {0} {1} of item {2} required as per BOM to complete this transaction,Adicional {0} {1} do item {2} necessário de acordo com a BOM para concluir esta transação
Address,Endereço
Address & Contact,Endereço e contato
Address & Contacts,Endereço e Contatos
Address Desc,Descrição do endereço
Address HTML,Endereço HTML
Address Line 1,Endereço Linha 1
Address Line 2,Linha de endereço 2
Address Name,Nome do endereço
Address Type,Tipo de endereço
Address and Contact,Endereço e Contato
Address and Contacts,Endereço e Contatos
Address used to determine Tax Category in transactions,Endereço usado para determinar a categoria fiscal nas transações
Adicionar linha,Adicionar linha
Adjust Qty,Ajustar quantidade
Adjustment Against,Ajuste Contra
Adjustment based on Purchase Invoice rate,Ajuste com base na taxa da fatura de compra
Administrator,Administrador
Advance Account,Conta Antecipada
Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},Conta Antecipada: {0} deve estar na moeda de faturamento do cliente: {1} ou na moeda padrão da empresa: {2}
Advance Paid,Adiantamento pago
Advance Paid (Company Currency),Adiantamento pago (moeda da empresa)
Advance Payment,Pagamento antecipado
Advance Payment Date,Data de pagamento antecipado
Advance Payment Ledger Entry,Entrada de razão de pagamento antecipado
Advance Payment Status,Status de pagamento antecipado
Advance Taxes and Charges,Impostos e taxas antecipadas
Advance Voucher No,Voucher Antecipado Não
Advance Voucher Type,Tipo de voucher antecipado
Advance amount,Valor adiantado
Advance amount cannot be greater than {0} {1},O valor do adiantamento não pode ser superior a {0} {1}
Advance paid against {0} {1} cannot be greater than Grand Total {2},O adiantamento pago contra {0} {1} não pode ser maior que o total geral {2}
Advance payments allocated against orders will only be fetched,Os adiantamentos atribuídos às encomendas só serão obtidos
Advanced Filtering,Filtragem Avançada
Advances,Avanços
"After save, please refresh the page to apply the changes.","Depois de salvar, atualize a página para aplicar as alterações."
Against,Contra
Against Blanket Order,Contra a ordem geral
Against Customer Order {0},Contra pedido do cliente {0}
Against Delivery Note Item,Contra item de nota de entrega
Against Docname,Contra Docname
Against Doctype,Contra Doctype
Against Document Detail No,Contra detalhe do documento não
Against Document No,Contra o documento nº
Against Expense Account,Contra conta de despesas
Against Finished Good,Contra o bem acabado
Against Income Account,Conta Contra Renda
Against Journal Entry {0} does not have any unmatched {1} entry,O lançamento contábil manual {0} não possui nenhuma entrada {1} sem correspondência
Against Journal Entry {0} is already adjusted against some other voucher,O lançamento contábil manual {0} já está ajustado em relação a algum outro voucher
Against Pick List,Contra lista de seleção
Against Sales Invoice,Contra fatura de vendas
Against Sales Invoice Item,Contra item da fatura de vendas
Against Sales Order,Contra ordem de vendas
Against Sales Order Item,Contra item da ordem de vendas
Against Stock Entry,Contra entrada de ações
Against Supplier Invoice {0},Contra fatura do fornecedor {0}
Against Voucher No,Contra Voucher Não
Against Voucher Type,Contra tipo de voucher
Age ({0}),Idade ({0})
Ageing Range,Faixa de envelhecimento
Ageing Report based on {0} up to {1},Relatório de antiguidade baseado em {0} até {1}
Agenda,Agenda
Agent Busy Message,Mensagem de agente ocupado
Agent Details,Detalhes do Agente
Agent Group,Grupo de agentes
Agent Unavailable Message,Mensagem de agente indisponível
Agents,Agentes
Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,Agregue um grupo de itens em outro item. Isto é útil se você estiver mantendo o estoque dos itens embalados e não do item agrupado
Algorithm,Algoritmo
All,Todos
All Activities,Todas as atividades
All Activities HTML,Todas as atividades HTML
All BOMs,Todas as listas de materiais
All Contact,Todos os contatos
All Customer Contact,Todos os contatos do cliente
All Day,O dia todo
All Employee (Active),Todos os funcionários (ativos)
All Items,Todos os itens
All Lead (Open),Todos os leads (abertos)
All Parties ,Todas as partes
All Sales Partner Contact,Todos os contatos do parceiro de vendas
All Sales Person,Todos os vendedores
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,Todas as transações de vendas podem ser marcadas em vários vendedores para que você possa definir e monitorar metas.
All Supplier Contact,Todos os contatos do fornecedor
All allocations have been successfully reconciled,Todas as alocações foram reconciliadas com sucesso
All communications including and above this shall be moved into the new Issue,"Todas as comunicações, incluindo e acima desta, serão movidas para a nova edição"
All items are already requested,Todos os itens já foram solicitados
All items have already been received,Todos os itens já foram recebidos
All items in this document already have a linked Quality Inspection.,Todos os itens deste documento já possuem uma Inspeção de Qualidade vinculada.
All items must be linked to a Sales Order or Subcontracting Inward Order for this Sales Invoice.,Todos os itens devem estar vinculados a uma Ordem de vendas ou Pedido de Entrada de Subcontratação para esta Fatura de Venda.
All linked Sales Orders must be subcontracted.,Todas as ordens de vendas vinculadas devem ser subcontratadas.
All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,Todos os comentários e e-mails serão copiados de um documento para outro documento recém-criado (Lead -> Oportunidade -> Cotação) em todos os documentos do CRM.
All the items have been already returned.,Todos os itens já foram devolvidos.
"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.","Todos os itens necessários (matérias-primas) serão obtidos da BOM e preenchidos nesta tabela. Aqui você também pode alterar o Armazém de Origem para qualquer item. E durante a produção, você pode acompanhar as matérias-primas transferidas desta tabela."
